Longitude,Latitude,CNTY_NM,
-95.4232,32.04151,Anderson,"(-95.4232000049999, 32.041510002)"
-95.4234,32.04155,Anderson,"(-95.4234000019999, 32.041549997)"
-95.42353,32.0416,Anderson,"(-95.4235299959999, 32.041599995)"
-95.42396,32.04178,Anderson,"(-95.4239599989999, 32.041779999)"
-95.42427,32.04186,Anderson,"(-95.4242699989999, 32.041859999)"
-95.42442,32.04188,Anderson,"(-95.4244200019999, 32.041880002)"
-95.42469,32.04192,Anderson,"(-95.4246899979999, 32.041920004)"
-95.4249,32.04196,Anderson,"(-95.4249000019999, 32.041959998)"
-95.42499,32.04198,Anderson,"(-95.4249899989999, 32.041980003)"
-95.42534,32.04197,Anderson,"(-95.4253399969999, 32.041969999)"
-95.42568001,32.04193,Anderson,"(-95.4256800059999, 32.04193)"
-95.42588,32.04181,Anderson,"(-95.4258799999999, 32.041809999)"
-95.42594999,32.04177,Anderson,"(-95.4259499949999, 32.041769998)"
-95.426,32.0417,Anderson,"(-95.4259999969999, 32.041700002)"
-95.42607,32.0416,Anderson,"(-95.4260699999999, 32.041599996)"
-95.42617,32.04141,Anderson,"(-95.4261700049999, 32.04141)"
-95.42617,32.04105,Anderson,"(-95.4261699969999, 32.041050002)"
-95.426,32.04073,Anderson,"(-95.4260000019999, 32.040729995)"
-95.42588,32.04019,Anderson,"(-95.4258799969999, 32.040190001)"
-95.42585,32.03995,Anderson,"(-95.4258500019999, 32.039949999)"
-95.42581,32.03943,Anderson,"(-95.4258100019999, 32.039429997)"
-95.42585,32.0393,Anderson,"(-95.4258499999999, 32.039300002)"
-95.42593,32.03927,Anderson,"(-95.4259299989999, 32.039269997)"
-95.426,32.03922001,Anderson,"(-95.4259999979999, 32.039220005)"
-95.42622,32.03917,Anderson,"(-95.4262199999999, 32.039169997)"
-95.42633999,32.03908,Anderson,"(-95.4263399949999, 32.039080001)"
-95.42644,32.03903,Anderson,"(-95.4264399959999, 32.039029996)"
-95.4265,32.03899,Anderson,"(-95.4264999959999, 32.038989998)"
-95.42655,32.03895,Anderson,"(-95.4265500039999, 32.03895)"
-95.42682,32.03895001,Anderson,"(-95.4268200019999, 32.038950005)"
-95.42699,32.03895,Anderson,"(-95.4269899969999, 32.03895)"
-95.42711,32.03889,Anderson,"(-95.4271099989999, 32.038890001)"
-95.42723,32.03882,Anderson,"(-95.4272299999999, 32.038820001)"
-95.42746,32.03874,Anderson,"(-95.4274599969999, 32.038739998)"
-95.42755,32.0387,Anderson,"(-95.4275499989999, 32.038700004)"
-95.42764,32.03866,Anderson,"(-95.4276400009999, 32.038659997)"
-95.42782,32.03863,Anderson,"(-95.4278200019999, 32.038629996)"
-95.42792,32.03864,Anderson,"(-95.4279199959999, 32.03864)"
-95.42816,32.03867,Anderson,"(-95.4281599989999, 32.038669997)"
-95.42849,32.03876,Anderson,"(-95.4284900019999, 32.03876)"
-95.42863,32.03881,Anderson,"(-95.4286299989999, 32.038809996)"
-95.4287,32.03882,Anderson,"(-95.4287000029999, 32.038819996)"
-95.42881,32.03884,Anderson,"(-95.4288100009999, 32.038840001)"
-95.42898,32.03884,Anderson,"(-95.4289799999999, 32.038840004)"
-95.42915,32.03887,Anderson,"(-95.4291500039999, 32.038869999)"
-95.42923,32.03889,Anderson,"(-95.4292299999999, 32.038890001)"
-95.42981,32.03903,Anderson,"(-95.4298099999999, 32.039029998)"
-95.4301,32.03911,Anderson,"(-95.4300999979999, 32.039109999)"
-95.43026,32.03917,Anderson,"(-95.4302599999999, 32.039170004)"
